manufacturer,diameter,impulseClass,my_Isp,total_impulse
Cesaroni Technology,38.0,I,190.5602746261454,625.5
AeroTech,38.0,I,183.14644920149507,539.0
Kosdon by AeroTech,38.0,I,204.03443270032156,634.3
Animal Motor Works,38.0,I,178.5841631803802,596.0
Contrail Rockets,38.0,I,265.28130872112297,432.0
Loki Research,38.0,I,199.50487840396093,493.2
AeroTech,38.0,I,214.86419064863,568.9
Kosdon by AeroTech,38.0,I,213.66223140328492,633.0
Contrail Rockets,38.0,I,206.32990678309565,336.0
Contrail Rockets,38.0,I,264.6672316176019,431.0
AeroTech,54.0,J,169.17680052451988,707.0
Ellis Mountain,54.0,J,181.88817944750738,751.2
Hypertek,54.0,J,165.12339891945524,673.7
Hypertek,54.0,J,173.05496499834828,757.5
AeroTech,54.0,J,191.83972541063994,1202.0
AeroTech,54.0,J,172.1491916717796,1069.0
Propulsion Polymers,38.0,J,125.69365767597348,664.0
Sky Ripper Systems,38.0,J,192.57789899991735,699.0
AeroTech,54.0,J,205.541428783019,825.7
Ellis Mountain,54.0,J,257.80992268556093,903.4
Hypertek,54.0,J,176.69045191980968,751.4
Hypertek,54.0,J,182.11040443268732,728.0
AeroTech,54.0,J,183.9592053659332,739.0
AeroTech,54.0,J,178.1736778242102,764.0
Hypertek,54.0,J,190.16858318426827,827.0
Cesaroni Technology,54.0,J,215.19990938951182,836.0
AeroTech,54.0,J,184.78479648350503,853.8
Hypertek,54.0,J,173.89076794157614,720.9
Ellis Mountain,38.0,J,199.7531302121683,1115.0
Contrail Rockets,54.0,J,234.00158568354286,1033.0
Contrail Rockets,54.0,J,145.76962283384302,643.5
Hypertek,54.0,J,187.57278050633818,744.5
AeroTech,54.0,J,213.7384499029956,1170.0
Ellis Mountain,38.0,J,190.4523603317542,648.5
Hypertek,54.0,J,193.22708011769944,802.2
AeroTech,54.0,J,167.1590732389986,774.0
Cesaroni Technology,54.0,J,142.65179026503566,716.5
Cesaroni Technology,38.0,J,211.3761467889908,648.0
Cesaroni Technology,54.0,J,205.24648455331433,1196.0
Hypertek,54.0,J,143.01794497188396,998.8
Cesaroni Technology,38.0,J,204.81800415184392,694.0
AeroTech,54.0,J,177.64465483455052,763.3
Hypertek,81.0,J,143.01794497188396,998.8
Cesaroni Technology,38.0,J,207.95107033639144,765.0
Ellis Mountain,38.0,J,182.59036280244774,737.8
Hypertek,54.0,J,145.17015710422137,1051.0
AeroTech,38.0,J,190.23129679859747,700.0
AeroTech,38.0,J,186.5408652618058,697.4
Contrail Rockets,54.0,J,153.78865103635744,678.9
Animal Motor Works,54.0,J,185.68454717352742,998.4
Contrail Rockets,54.0,J,207.02231283271036,913.9
Cesaroni Technology,38.0,J,203.8242462512748,826.0
Animal Motor Works,54.0,J,163.29047285001965,1125.0
Animal Motor Works,54.0,J,175.65910071740814,1031.0
Cesaroni Technology,54.0,J,138.25758328925792,1043.0
Animal Motor Works,54.0,J,200.95067939597877,1100.0
Cesaroni Technology,38.0,J,182.02999854376,700.0
Kosdon by AeroTech,38.0,J,200.54051501692928,722.0
AeroTech,54.0,J,181.14255963552708,1232.0
AeroTech,38.0,J,194.41859090841942,658.0
Animal Motor Works,38.0,J,212.59894560039012,653.0
Animal Motor Works,54.0,J,204.60021595839615,1070.0
AeroTech,54.0,J,197.66512215483695,805.5
Animal Motor Works,54.0,J,213.59059541357735,1165.0
Animal Motor Works,38.0,J,206.05907338981223,660.0
Loki Research,54.0,J,181.52905198776756,1113.0
Loki Research,38.0,J,201.9656903628841,741.0
AeroTech,54.0,J,174.29841510045802,1161.0
AeroTech,38.0,J,185.1338172572647,973.1
Kosdon by AeroTech,38.0,J,204.7068692070317,737.0
Contrail Rockets,54.0,J,247.5931589081436,1093.0
AeroTech,54.0,J,202.7189744300281,1229.0
AeroTech,54.0,K,172.61525387720414,1417.0
Hypertek,54.0,K,164.79272340638292,1292.0
R.A.T.T. Works,64.0,K,145.56764279830713,1845.0
Loki Research,54.0,K,168.11730573198463,1608.0
AeroTech,54.0,K,167.26449684877386,2353.0
Loki Research,54.0,K,183.21073366944927,2527.0
Animal Motor Works,75.0,K,181.02941081392115,1680.0
Kosdon by AeroTech,54.0,K,195.7389909527913,1386.0
Cesaroni Technology,54.0,K,210.56641851748884,1636.0
Animal Motor Works,75.0,K,213.3318903078639,1845.0
Contrail Rockets,75.0,K,286.1260501247847,1628.0
AeroTech,98.0,K,176.33277894021495,2465.0
Animal Motor Works,75.0,K,207.20567291862582,1679.0
Ellis Mountain,54.0,K,219.07864608497013,2435.0
Animal Motor Works,54.0,K,195.03142748174693,1394.0
AeroTech,54.0,K,186.232813758134,1687.0
Cesaroni Technology,75.0,K,211.7083398268011,2486.0
Animal Motor Works,54.0,K,179.38420039748567,1402.0
Cesaroni Technology,54.0,K,140.42415653514334,1412.0
AeroTech,54.0,K,176.44891906979433,1539.0
Animal Motor Works,54.0,K,153.73299180957923,1300.0
Animal Motor Works,54.0,K,201.15528372409108,1480.0
AeroTech,75.0,K,172.8991183361053,2417.0
Cesaroni Technology,54.0,K,212.41981486629805,2063.0
Animal Motor Works,54.0,K,189.13923924787449,1697.0
Cesaroni Technology,75.0,K,147.7490932366119,2493.0
Kosdon by AeroTech,54.0,K,201.1151263767203,1429.0
Animal Motor Works,75.0,K,208.29113749965617,2499.0
Animal Motor Works,75.0,K,199.56757598266327,2410.0
Contrail Rockets,75.0,K,265.4315489445088,1341.0
Animal Motor Works,54.0,K,201.46478034316897,1840.0
Cesaroni Technology,54.0,K,139.2579223832044,1750.0
AeroTech,98.0,K,191.60932721712538,2406.0
Cesaroni Technology,54.0,K,211.06200476859826,2437.0
Animal Motor Works,54.0,K,176.02695796062062,1751.0
AeroTech,98.0,K,182.64967513454727,2358.0
AeroTech,54.0,K,170.91064669473033,1514.0
Animal Motor Works,54.0,K,225.76606530796542,1650.0
AeroTech,54.0,K,176.8834251390385,2261.0
Contrail Rockets,75.0,K,289.69015954294383,1833.0
AeroTech,75.0,K,190.6089517874312,2371.0
Animal Motor Works,54.0,K,217.4800420238358,1950.0
Animal Motor Works,54.0,K,213.54576254676124,1859.0
Loki Research,54.0,K,213.30001205704076,1946.0
Animal Motor Works,54.0,K,184.34259778833953,2454.0
Animal Motor Works,54.0,K,166.6199030617979,2120.0
AeroTech,54.0,K,189.35396617973507,2530.0
Animal Motor Works,54.0,K,174.16630260666957,2392.0
AeroTech,54.0,K,194.03978843862959,1472.0
AeroTech,54.0,K,185.60505579830192,2225.0
Hypertek,75.0,L,166.6736140321625,2639.0
Hypertek,75.0,L,168.42519723079747,2789.0
Ellis Mountain,76.0,L,203.39470065472156,2973.0
Hypertek,75.0,L,191.4775801965744,3043.0
Hypertek,75.0,L,177.42479516179822,2851.0
Hypertek,75.0,L,183.26162082813906,2774.0
Hypertek,75.0,L,188.86062918218425,2994.0
Hypertek,75.0,L,183.83678321082192,4615.0
Hypertek,75.0,L,203.28247002322476,3095.0
Hypertek,75.0,L,184.33050036584677,4716.0
Hypertek,75.0,L,192.89333210354351,4831.0
R.A.T.T. Works,64.0,L,146.04763228616437,3152.0
Ellis Mountain,76.0,L,205.89337320121533,4995.0
Hypertek,75.0,L,199.104253429,3131.0
Hypertek,75.0,L,193.96198799480678,4951.0
Animal Motor Works,75.0,L,167.10950685984525,2700.0
Animal Motor Works,75.0,L,221.11918751077852,2590.0
Cesaroni Technology,54.0,L,208.62712786466173,2765.0
Hypertek,75.0,L,197.4780255179433,5033.0
Animal Motor Works,75.0,L,181.48452840056416,3137.0
Cesaroni Technology,75.0,L,213.35741199787608,3757.0
Contrail Rockets,75.0,L,119.74388379204892,3759.0
AeroTech,75.0,L,177.4040906094069,3646.0
Cesaroni Technology,75.0,L,148.63807695043025,3762.0
Animal Motor Works,75.0,L,198.57818022955638,3450.0
Loki Research,76.0,L,191.94083919938143,3587.0
AeroTech,98.0,L,172.58826800111203,4656.0
Hypertek,75.0,L,204.83791968569554,5098.0
Kosdon by AeroTech,54.0,L,203.0900718572164,2592.0
Animal Motor Works,75.0,L,192.45285223838653,3623.0
Animal Motor Works,75.0,L,219.66578740982567,3700.0
Cesaroni Technology,75.0,L,142.68188606784724,4815.0
Animal Motor Works,54.0,L,196.90614998492907,2600.0
Animal Motor Works,75.0,L,216.04145015960992,3480.0
Cesaroni Technology,75.0,L,213.5392848413933,5015.0
AeroTech,75.0,L,181.5267622626887,4947.0
AeroTech,75.0,L,188.4919677875427,3517.0
Animal Motor Works,54.0,L,207.51973958793945,2675.0
AeroTech,98.0,L,176.87893688284083,4567.0
Loki Research,54.0,L,207.58701033930393,2851.0
Kosdon by AeroTech,54.0,L,215.63553673645416,2640.0
AeroTech,75.0,L,183.28714322120285,4603.0
AeroTech,98.0,L,208.25225654353633,5089.0
Cesaroni Technology,98.0,M,207.35694989937295,7441.0
Hypertek,75.0,M,202.49554198760615,5143.0
AeroTech,98.0,M,182.88049699311682,6159.0
R.A.T.T. Works,64.0,M,200.37029596394763,6463.0
Hypertek,98.0,M,207.00069182913046,6421.0
Hypertek,75.0,M,198.75543271957994,5126.0
Hypertek,98.0,M,220.30958369550254,9155.0
Ellis Mountain,76.0,M,212.525596704808,7320.0
Hypertek,98.0,M,194.25468319697978,9835.0
Hypertek,98.0,M,216.0083673023911,9114.0
Hypertek,98.0,M,198.66698031835645,6334.0
Hypertek,98.0,M,194.5138242515599,10100.0
AeroTech,75.0,M,202.86246920737207,5417.0
AeroTech,75.0,M,195.5997912903031,6714.0
Animal Motor Works,75.0,M,198.89342676553176,5711.0
Cesaroni Technology,75.0,M,212.9702311839387,6251.0
AeroTech,98.0,M,193.92244652318504,7756.0
Animal Motor Works,75.0,M,197.07781175671084,5800.0
AeroTech,75.0,M,180.07762631963135,5600.0
AeroTech,98.0,M,179.36420402956722,7084.0
Animal Motor Works,98.0,M,167.28354406112496,8115.0
